%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;10;100;0;150;100;142;B49;PU
Vehicle1;20;100;0;510;100;492;B409;PU
Vehicle2;30;100;0;890;100;862;B789;PU
Vehicle0;150;100;142;150;100;144;B48;PU
Vehicle0;150;100;144;330;100;326;B229;PU
Vehicle0;330;100;326;330;100;328;B228;PU
Vehicle0;330;100;328;1080;100;1080;B979;PU
Vehicle1;510;100;492;510;100;494;B408;PU
Vehicle1;510;100;494;660;100;646;B559;PU
Vehicle1;660;100;646;660;100;648;B558;PU
Vehicle1;660;100;648;450;100;860;B349;PU
Vehicle1;450;100;860;0;100;1312;B409;PL
Vehicle2;890;100;862;890;100;864;B788;PU
Vehicle2;890;100;864;690;100;1066;B589;PU
Vehicle2;690;100;1066;690;100;1068;B588;PU
Vehicle2;690;100;1068;160;100;1600;B59;PU
Vehicle0;1080;100;1080;0;100;2162;B49;PL
Vehicle1;0;100;1312;0;100;1314;B408;PL
Vehicle1;0;100;1314;0;100;1316;B559;PL
Vehicle1;0;100;1316;0;100;1318;B558;PL
Vehicle1;0;100;1318;0;100;1320;B349;PL
Vehicle1;0;100;1320;500;100;1822;B399;PU
Vehicle2;160;100;1600;0;100;1762;B789;PL
Vehicle2;0;100;1762;0;100;1764;B788;PL
Vehicle2;0;100;1764;0;100;1766;B589;PL
Vehicle2;0;100;1766;0;100;1768;B588;PL
Vehicle2;0;100;1768;0;100;1770;B59;PL
Vehicle2;0;100;1770;830;100;2602;B729;PU
Vehicle1;500;100;1822;540;100;1864;B439;PU
Vehicle1;540;100;1864;290;100;2116;B189;PU
Vehicle1;290;100;2116;670;100;2498;B569;PU
Vehicle0;0;100;2162;0;100;2164;B48;PL
Vehicle0;0;100;2164;0;100;2166;B229;PL
Vehicle0;0;100;2166;0;100;2168;B228;PL
Vehicle0;0;100;2168;0;100;2170;B979;PL
Vehicle0;0;100;2170;170;100;2342;B69;PU
Vehicle0;170;100;2342;840;100;3014;B739;PU
Vehicle1;670;100;2498;0;100;3170;B399;PL
Vehicle2;830;100;2602;600;100;2834;B499;PU
Vehicle2;600;100;2834;310;100;3126;B209;PU
Vehicle0;840;100;3014;610;100;3246;B509;PU
Vehicle2;310;100;3126;720;100;3538;B619;PU
Vehicle1;0;100;3170;0;100;3172;B439;PL
Vehicle1;0;100;3172;0;100;3174;B189;PL
Vehicle1;0;100;3174;0;100;3176;B569;PL
Vehicle0;610;100;3246;990;100;3628;B889;PU
Vehicle2;720;100;3538;0;100;4260;B729;PL
Vehicle0;990;100;3628;400;100;4220;B299;PU
Vehicle0;400;100;4220;0;100;4622;B69;PL
Vehicle2;0;100;4260;0;100;4262;B499;PL
Vehicle2;0;100;4262;0;100;4264;B209;PL
Vehicle2;0;100;4264;0;100;4266;B619;PL
Vehicle0;0;100;4622;0;100;4624;B739;PL
Vehicle0;0;100;4624;0;100;4626;B509;PL
Vehicle0;0;100;4626;0;100;4628;B889;PL
Vehicle0;0;100;4628;0;100;4630;B299;PL
Vehicle1;0;100;4628;780;100;5410;B679;PU
Vehicle2;0;100;4628;190;100;4820;B89;PU
Vehicle0;0;100;4630;750;100;5382;B649;PU
Vehicle2;190;100;4820;190;100;4822;B88;PU
Vehicle2;190;100;4822;0;100;5014;B88;PL
Vehicle2;0;100;5014;190;100;5206;B87;PU
Vehicle2;190;100;5206;190;100;5208;B86;PU
Vehicle2;190;100;5208;190;100;5210;B85;PU
Vehicle2;190;100;5210;0;100;5402;B85;PL
Vehicle0;750;100;5382;750;100;5384;B648;PU
Vehicle0;750;100;5384;0;100;6136;B648;PL
Vehicle2;0;100;5402;190;100;5594;B84;PU
Vehicle1;780;100;5410;780;100;5412;B678;PU
Vehicle1;780;100;5412;780;100;5414;B677;PU
Vehicle1;780;100;5414;0;100;6196;B677;PL
Vehicle2;190;100;5594;0;100;5786;B84;PL
Vehicle2;0;100;5786;190;100;5978;B83;PU
Vehicle2;190;100;5978;190;100;5980;B82;PU
Vehicle2;190;100;5980;820;100;6612;B82;PL_RELOC
